time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-03-17T03:13:38.940Z,17.9256,-67.0298,7,2.8,ml,8,244,0.1136,0.05,pr,pr2020077002,2020-03-17T13:10:56.238Z,"3km SE of La Parguera, Puerto Rico",earthquake,0.78,0.3,0,0,reviewed,pr,pr
2020-03-17T03:03:07.335Z,62.8724,-149.4307,70.8,3.1,ml,,,,0.65,ak,ak0203je6oj1,2020-03-17T03:21:15.040Z,"62km SSW of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-03-17T02:45:57.810Z,17.894,-66.834,14,2.9,md,8,239,0.0928,0.19,pr,pr2020077003,2020-03-17T03:56:10.225Z,"11km SE of Guanica, Puerto Rico",earthquake,1.73,1.01,0.34,5,reviewed,pr,pr
2020-03-17T02:19:06.550Z,17.8545,-66.8771,13,3.19,md,8,252,0.1206,0.07,pr,pr2020077001,2020-03-17T04:11:47.598Z,"13km SSE of Guanica, Puerto Rico",earthquake,1,0.44,0.25,4,reviewed,pr,pr
2020-03-17T01:57:03.720Z,35.9553333,-117.3643333,2.26,3.45,ml,38,67,0.09193,0.15,ci,ci38395986,2020-03-17T21:11:16.503Z,"21km N of Searles Valley, CA",earthquake,0.16,0.39,0.168,111,reviewed,ci,ci
2020-03-17T01:31:29.130Z,17.9066,-67.0058,8,2.56,md,8,246,0.1439,0.05,pr,pr2020077000,2020-03-17T04:20:11.040Z,"15km S of La Parguera, Puerto Rico",earthquake,0.63,0.78,0.19,5,reviewed,pr,pr
2020-03-17T01:17:29.590Z,45.6816667,-111.6226667,3.4,2.68,ml,43,61,0.085,0.37,mb,mb80385474,2020-03-17T03:14:37.110Z,"24km SSW of Three Forks, Montana",earthquake,0.58,1.6,0.237,18,reviewed,mb,mb
2020-03-17T00:52:56.700Z,39.0184,16.0397,34.32,4.2,mwr,,60,0.581,1.21,us,us60008gwk,2020-03-17T01:23:38.040Z,"11km W of Nocera Terinese, Italy",earthquake,1.7,5.2,0.066,22,reviewed,us,us
2020-03-17T00:39:25.493Z,-20.1912,-69.238,93.39,4,mb,,70,0.093,0.89,us,us60008gwe,2020-03-17T01:13:02.613Z,"94km E of Iquique, Chile",earthquake,5.1,4.8,0.212,6,reviewed,us,us
2020-03-17T00:38:36.468Z,36.5698,70.957,208.92,4,mb,,74,2.097,0.76,us,us60008gwi,2020-03-17T04:32:49.101Z,"34km SSE of Jarm, Afghanistan",earthquake,6.6,15.2,0.232,5,reviewed,us,us
2020-03-16T23:56:39.061Z,38.1391,-118.3692,6.6,2.8,ml,15,58.32,0.155,0.1686,nn,nn00719232,2020-03-17T02:09:34.500Z,"46km SSE of Hawthorne, Nevada",earthquake,,2,0.27,7,reviewed,nn,nn
2020-03-16T23:38:13.120Z,17.9526,-66.911,14,2.5,md,5,214,0.039,0.1,pr,pr2020076030,2020-03-16T23:47:50.960Z,"2km S of Guanica, Puerto Rico",earthquake,1.43,0.6,0.1,2,reviewed,pr,pr
